"Condition","Meth","NoMeth"
"All Differences",0.524238279075377,1.18284785352769
"All Differences",0.51961708437601,1.1511731671988
"All Differences",0.518695194030284,1.07917577073946
"All Differences",0.51992642488053,0.950095540118752
"All Differences",0.522859326294572,0.944793848231231
"All Differences",0.529306355715563,0.936906752955692
"All Differences",0.596227809309466,0.934976823667397
"All Differences",0.603099263887983,0.964202134468091
"All Differences",0.608609795095408,1.01642301775465
"All Differences",0.608579629320118,1.14716733096332
"All Differences",0.602689859623667,1.18392460075713
"All Differences",0.59881092955481,1.18448223528065
"No Casual",0.552061448051418,0.947923659361684
"No Casual",0.513780250235104,0.94014619327605
"No Casual",0.513890891493678,0.831737726311553
"No Casual",0.520646839839553,0.770037991640757
"No Casual",0.550859188762373,0.7445943815219
"No Casual",0.594292930956604,0.743919553223709
"No Casual",0.598338548442315,0.766830857531958
"No Casual",0.601517954088116,0.94156000658112
"No Casual",0.593857298792131,0.944450168183208
"No Main",0.524436012870644,1.08820196533129
"No Main",0.510464499772942,1.06537250022241
"No Main",0.505351362326264,0.937710527979445
"No Main",0.506226471168351,0.870889786662582
"No Main",0.519221218139973,0.859659642497516
"No Main",0.538305526573391,0.852809041127377
"No Main",0.582833962019863,0.867596722855202
"No Main",0.586259203901515,0.870301282146429
"No Main",0.588173804188985,0.896044302846552
"No Main",0.589780719584629,1.00372768805249
"No Main",0.59023078150204,1.08832739481979
"No One-time",0.696491501909798,1.0034513735503
"No One-time",0.681021869499296,1.00062104464443
"No One-time",0.67202986380986,0.994260326847587
"No One-time",0.665411413976063,0.97810973475755
"No One-time",0.663724413369479,0.954715421332248
"No One-time",0.660865211053011,0.880215710194269
"No One-time",0.668679657469988,0.83692619274264
"No One-time",0.702109082102652,0.823943215912638
"No One-time",0.741412792146564,0.823656097154248
"No One-time",0.764180659806852,0.832937155973912
"No One-time",0.769667007488828,0.877608922407813
"No One-time",0.77038998035517,0.943985658983841
"No One-time",0.767567980378731,1.00247763874112
"No Condoms",0.428336494822964,0.796688752969986
"No Condoms",0.419876511367457,0.79336052688166
"No Condoms",0.414949891810168,0.771824843649158
"No Condoms",0.409224761497992,0.705236669188822
"No Condoms",0.409657071417495,0.691986732336506
"No Condoms",0.41815476383593,0.625882942740232
"No Condoms",0.42370368388388,0.623628585322597
"No Condoms",0.439135333242632,0.622039814333377
"No Condoms",0.478580683414506,0.620414590724223
"No Condoms",0.487679970411253,0.623426098705834
"No Condoms",0.489028291496926,0.693621566146323
"No Condoms",0.48788548303811,0.74819830004521
"No Condoms",0.486894378590016,0.788259261930003
"No Condoms",0.484733932743896,0.796341589768381
"No Acts",0.485947923244453,0.95244738742227
"No Acts",0.468690743676027,0.940752675088337
"No Acts",0.465821948720885,0.936054962121191
"No Acts",0.453557694397452,0.904016765110891
"No Acts",0.45474109675623,0.742918898693682
"No Acts",0.466588068093685,0.741052125364238
"No Acts",0.520124039771267,0.740938059804178
"No Acts",0.533891761160232,0.749266270877118
"No Acts",0.534208562551514,0.843604370265205
"No Acts",0.532404421665611,0.889593546298086
"No Acts",0.529681028459941,0.938638704843361
"No Acts",0.525296777150983,0.94460118483987
"No Differences",0.562387256893226,0.672712872090722
"No Differences",0.558587385693649,0.654483910409483
"No Differences",0.556731362205072,0.638570707086802
"No Differences",0.555650781897695,0.604222704974599
"No Differences",0.556323206019558,0.545189100797978
"No Differences",0.57934759357278,0.541031559240247
"No Differences",0.622738587501069,0.544244198893933
"No Differences",0.653354192490673,0.550400584744767
"No Differences",0.658821583827566,0.561870812193917
"No Differences",0.661055118617275,0.57158155291589
"No Differences",0.660781996912917,0.592889636049877
"No Differences",0.656083653383412,0.662033933330876
"No Differences",0.653968495801313,0.673725602718906
