"Condition","Meth","NoMeth"
"All Differences",0.509903872745827,1.35674150283996
"All Differences",0.487339356929645,1.30538004572281
"All Differences",0.47908574225255,1.23637901170485
"All Differences",0.470847905063145,1.03997938041655
"All Differences",0.46696366278015,0.931923443485071
"All Differences",0.467363570847627,0.879389613435866
"All Differences",0.468860655811201,0.781896863975226
"All Differences",0.493218853805115,0.776446027048846
"All Differences",0.537405720016627,0.777806888590708
"All Differences",0.571131966848652,0.779933582327388
"All Differences",0.601128533968426,0.78549302040022
"All Differences",0.640733958014879,0.82656344523608
"All Differences",0.67003589654626,0.992788549727659
"All Differences",0.679684861960795,1.10347350832627
"All Differences",0.683780153759929,1.2767808216429
"All Differences",0.67832686323009,1.35737846599055
"All Differences",0.656995888478103,1.36026127088083
"No Casual",0.529330750364402,1.08204625127939
"No Casual",0.498019311315738,1.05400203761782
"No Casual",0.477716844204028,1.02090787415769
"No Casual",0.456669186908155,0.838278837476136
"No Casual",0.450691268741404,0.692200097453166
"No Casual",0.468678756613404,0.625967805384423
"No Casual",0.477800391990761,0.601188763059395
"No Casual",0.509489683571156,0.592521579986091
"No Casual",0.597071776577327,0.587872796432907
"No Casual",0.606476157675633,0.598396005827533
"No Casual",0.644264817035091,0.650932652775358
"No Casual",0.657654533384726,0.751058207433101
"No Casual",0.6602188809031,1.10087769553599
"No Casual",0.579111553918582,1.12053657641797
"No Main",0.499165692972993,1.25249560635916
"No Main",0.465996637896828,1.20727779760201
"No Main",0.449591425836695,1.15213221814759
"No Main",0.448037137571156,1.10233662451689
"No Main",0.446924927812917,0.736764217888656
"No Main",0.458521801860108,0.678992535123452
"No Main",0.496229962182277,0.672379402350151
"No Main",0.50657956610698,0.673198515943504
"No Main",0.577610694138761,0.728628539796908
"No Main",0.592513395555778,0.745694648795636
"No Main",0.634947552643845,0.795107470612713
"No Main",0.658003022362216,0.905961071743071
"No Main",0.660188735550772,0.960320961219142
"No Main",0.658866488490454,1.18543001533433
"No Main",0.653940900116399,1.2361225392005
"No Main",0.621844090182626,1.25695161415746
"No One-time",0.645195950583269,1.16090466324876
"No One-time",0.617304575185095,1.11635954743562
"No One-time",0.591627332274315,1.02027661271713
"No One-time",0.588249101174491,0.841367219956131
"No One-time",0.592035791376784,0.759328994017284
"No One-time",0.595515173965851,0.731146291281275
"No One-time",0.627843696689228,0.70142574696225
"No One-time",0.673024948360553,0.701183118720314
"No One-time",0.796763149675865,0.707646373419051
"No One-time",0.822824943734748,0.816546353563585
"No One-time",0.825794957467977,0.839067713670274
"No One-time",0.837651030125219,1.00568236935302
"No One-time",0.838912272932287,1.02530123221786
"No One-time",0.832880165760783,1.13515135357903
"No One-time",0.817316207346446,1.16656465350142
"No One-time",0.761297883478844,1.17871992879829
"No One-time",0.731374807569014,1.17857207329048
"No Condoms",0.407206518644646,0.973058370095834
"No Condoms",0.361197369105385,0.813882226415646
"No Condoms",0.361183509433766,0.559973844015889
"No Condoms",0.369697279528707,0.504983483817599
"No Condoms",0.396012238267496,0.502969797419594
"No Condoms",0.527634547330608,0.539313446777718
"No Condoms",0.537939077827448,0.643512669611322
"No Condoms",0.542345501599756,0.751114392453585
"No Condoms",0.543655077180375,0.954133050665944
"No Condoms",0.521836335704585,0.975701141094623
"No Condoms",0.481331890924943,0.977751718353503
"No Acts",0.484159443622518,1.12936445067295
"No Acts",0.428318659243802,1.11201258133312
"No Acts",0.418818980320586,1.09680943280975
"No Acts",0.403604263599608,0.964055903550226
"No Acts",0.400362665190678,0.64787570697546
"No Acts",0.418921948027738,0.594967848188609
"No Acts",0.427155390748945,0.583459287476836
"No Acts",0.576719006288308,0.605222744598479
"No Acts",0.587664825392295,0.792254211089236
"No Acts",0.586922784901751,0.956025248364443
"No Acts",0.575489571996845,1.09326208528086
"No Acts",0.569945767930538,1.13075707490446
"No Differences",0.581992074163407,0.798156107229645
"No Differences",0.503482146872286,0.724640649846348
"No Differences",0.490038438053113,0.652939938641982
"No Differences",0.490076447618384,0.520327114613084
"No Differences",0.490213604424257,0.499129718578687
"No Differences",0.493016124676694,0.427470907547114
"No Differences",0.504432701325734,0.426154036205053
"No Differences",0.567882155854914,0.42010416879927
"No Differences",0.642466491148587,0.417002457249284
"No Differences",0.698351691802718,0.4461094915938
"No Differences",0.736159908351427,0.622594164876206
"No Differences",0.736369064214504,0.641247044449718
"No Differences",0.736504241869515,0.658004309902035
"No Differences",0.736703809456775,0.730035913986756
"No Differences",0.734645264943695,0.762588103927631
"No Differences",0.671411870759682,0.807432026083663
"No Differences",0.655714634286157,0.807271708528788
